Table successfully created.
Table at 0x600003551100:
Class	sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)
virginica	4.900000	2.500000	4.500000	1.700000
virginica	7.300000	2.900000	6.300000	1.800000
virginica	6.700000	2.500000	5.800000	1.800000
virginica	7.200000	3.600000	6.100000	2.500000
virginica	6.500000	3.200000	5.100000	2.000000
virginica	6.400000	2.700000	5.300000	1.900000
virginica	6.800000	3.000000	5.500000	2.100000
virginica	5.700000	2.500000	5.000000	2.000000
virginica	5.800000	2.800000	5.100000	2.400000
virginica	6.400000	3.200000	5.300000	2.300000
virginica	6.500000	3.000000	5.500000	1.800000
virginica	7.700000	3.800000	6.700000	2.200000
virginica	7.700000	2.600000	6.900000	2.300000
virginica	6.000000	2.200000	5.000000	1.500000
virginica	6.900000	3.200000	5.700000	2.300000
virginica	5.600000	2.800000	4.900000	2.000000
virginica	7.700000	2.800000	6.700000	2.000000
virginica	6.300000	2.700000	4.900000	1.800000
virginica	6.700000	3.300000	5.700000	2.100000
virginica	7.200000	3.200000	6.000000	1.800000
virginica	6.200000	2.800000	4.800000	1.800000
virginica	6.100000	3.000000	4.900000	1.800000
virginica	6.400000	2.800000	5.600000	2.100000
virginica	7.200000	3.000000	5.800000	1.600000
virginica	7.400000	2.800000	6.100000	1.900000
virginica	7.900000	3.800000	6.400000	2.000000
virginica	6.400000	2.800000	5.600000	2.200000
virginica	6.300000	2.800000	5.100000	1.500000
virginica	6.100000	2.600000	5.600000	1.400000
virginica	7.700000	3.000000	6.100000	2.300000
virginica	6.300000	3.400000	5.600000	2.400000
virginica	6.400000	3.100000	5.500000	1.800000
virginica	6.000000	3.000000	4.800000	1.800000
virginica	6.900000	3.100000	5.400000	2.100000
virginica	6.700000	3.100000	5.600000	2.400000
virginica	6.900000	3.100000	5.100000	2.300000
virginica	5.800000	2.700000	5.100000	1.900000
virginica	6.800000	3.200000	5.900000	2.300000
virginica	6.700000	3.300000	5.700000	2.500000
virginica	6.700000	3.000000	5.200000	2.300000
virginica	6.300000	2.500000	5.000000	1.900000
virginica	6.500000	3.000000	5.200000	2.000000
virginica	6.200000	3.400000	5.400000	2.300000
virginica	5.900000	3.000000	5.100000	1.800000
End of program.
